Date,hashrate
1500249600000,5918988.32317922
1500163200000,6518885.78837
1500076800000,5079131.87192
1499990400000,5559049.84406697
1499904000000,5530741.54328
1499817600000,6235294.60611
1499731200000,6094383.99354571
1499644800000,6939847.66895
1499558400000,4861416.13358
1499472000000,5812562.76841065
1499385600000,5213692.665
1499299200000,5002326.74615
1499212800000,5248920.31814053
1499126400000,5389830.93071
1499040000000,5988701.03412
1498953600000,6622798.79067395
1498867200000,6622798.79067
1498780800000,5448313.58084
1498694400000,4245439.15389981
1498608000000,5554449.55969
1498521600000,4634604.40967
1498435200000,5023769.66544811
1498348800000,4316196.47313
1498262400000,5165284.30391
1498176000000,5660585.53853309
1498089600000,4917633.6866
1498003200000,4953012.34622
1497916800000,4882255.02698479
1497830400000,5342177.60199
1497744000000,5129905.6443
1497657600000,5129905.64429561
1497571200000,4993719.51673
1497484800000,5162426.25716
1497398400000,4723788.73204186
1497312000000,4757530.08013
1497225600000,4959978.16864
1497139200000,4926236.82055794
1497052800000,4757530.08013
1496966400000,5094943.56099
1496880000000,5567322.4341922
1496793600000,5567322.43419
1496707200000,5094943.56099
1496620800000,5533581.08610618
1496534400000,5432357.04185
1496448000000,5687700.32189
1496361600000,4325022.11976917
1496275200000,5035984.66001
1496188800000,4858244.02495
1496102400000,5302595.6125937
1496016000000,4473139.31565
1495929600000,4887867.46412
1495843200000,4976737.78165219
1495756800000,4532386.194
1495670400000,4828620.58577
1495584000000,4562009.63318118
1495497600000,4976737.78165
1495411200000,4064100.39426
1495324800000,4091936.69833503
1495238400000,4592990.1716
1495152000000,4565153.86753
1495065600000,3952755.1779835
1494979200000,4314627.1309
1494892800000,3674392.13728
1494806400000,4732171.69195208
1494720000000,4565153.86753
1494633600000,4398136.04311
1494547200000,4286790.82682718
1494460800000,3757901.04949
1494374400000,4119773.00241
1494288000000,4021861.58655028
1494201600000,4670548.93922
1494115200000,4333231.51583
1494028800000,4359179.00993837
1493942400000,3347226.73977
1493856000000,4359179.00994
1493769600000,3425069.22209443
1493683200000,4099704.06887
1493596800000,3892124.11602
1493510400000,3918071.61012318
1493424000000,4488916.48047
1493337600000,3528859.19852
1493251200000,3814281.63369607
1493164800000,3961100.13396
1493078400000,3831652.41717
1492992000000,3210303.37654549
1492905600000,3961100.13396
1492819200000,3753983.78709
1492732800000,4323553.74099272
1492646400000,3598646.52693
1492560000000,3702204.70037
1492473600000,3779873.33044872
1492387200000,3572756.98357
1492300800000,3779873.33045
1492214400000,3909321.04724491
1492128000000,3598646.52693
1492041600000,3287972.00662
1491955200000,3526859.22386818
1491868800000,4147785.14356
1491782400000,3675881.4446
1491696000000,3949088.84926085
1491609600000,3402674.03993
1491523200000,4023599.95962
1491436800000,3651044.4078072
1491350400000,4023599.95962
1491264000000,3104629.59848
1491177600000,4371318.47465352
1491091200000,3924251.81247
1491004800000,3278488.85599
1490918400000,3352999.96635355
1490832000000,4073274.0332
1490745600000,3263345.89308
1490659200000,3665352.27120909
1490572800000,3121461.28903
1490486400000,3925474.04529
1490400000000,3145108.72303748
1490313600000,4161948.38537
1490227200000,3499820.23315
1490140800000,3807236.87525589
1490054400000,3357935.62911
1489968000000,3216051.02506
1489881600000,3925474.04529489
1489795200000,3712647.13922
