Open Time,Open,High,Low,Close,Volumn,Close Time,Quote Asset Volumn,Number of Trades,Taker Buy Base Asset Volumn,Taker Buy Quote Asset Volumn,Ignore,Date Time
1597708800000,12281.15,12387.77,11817.93,11945.01,75923.835527,1597795199999,920402307.1768104,1189390,35954.349975,436020475.31834656,0.0,2020-08-18 00:00:00+00:00
1597795200000,11945.1,12020.08,11561.0,11754.59,73940.169606,1597881599999,870612801.5295693,1258060,34861.135969,410547222.2597808,0.0,2020-08-19 00:00:00+00:00
1597881600000,11754.38,11888.0,11668.0,11853.55,46085.254351,1597967999999,543576025.0485107,798027,21992.907541,259381062.46462873,0.0,2020-08-20 00:00:00+00:00
1597968000000,11853.54,11878.0,11485.81,11531.34,64448.306142,1598054399999,755451999.6540914,1189668,30531.732866,357993659.7185244,0.0,2020-08-21 00:00:00+00:00
1598054400000,11531.23,11686.0,11376.81,11662.96,43678.701646,1598140799999,504305451.410864,809328,21605.070922,249466430.9099906,0.0,2020-08-22 00:00:00+00:00
1598140800000,11663.51,11718.07,11514.13,11648.13,37900.00469,1598227199999,440406018.65187865,627352,18514.627525,215154211.01204568,0.0,2020-08-23 00:00:00+00:00
1598227200000,11648.12,11824.9,11585.09,11748.2,46212.391867,1598313599999,542298951.538298,656584,22780.419488,267322530.4323263,0.0,2020-08-24 00:00:00+00:00
1598313600000,11748.19,11767.85,11117.64,11318.42,69590.923272,1598399999999,797034671.6452801,996668,33126.45198,379562265.5590256,0.0,2020-08-25 00:00:00+00:00
1598400000000,11318.42,11539.32,11244.0,11461.43,53998.231231,1598486399999,615452789.9673375,862654,25622.53674,291999409.36174107,0.0,2020-08-26 00:00:00+00:00
1598486400000,11461.42,11592.2,11125.0,11330.38,63246.036383,1598572799999,717474981.6640126,959270,30793.180668,349359723.857759,0.0,2020-08-27 00:00:00+00:00
1598572800000,11330.38,11542.65,11276.89,11526.91,45953.908365,1598659199999,525606229.654251,719985,21714.202859,248344753.1280814,0.0,2020-08-28 00:00:00+00:00
