,MA_SLOW,MA_FAST,MA_SIGNAL,Multiple,Sharpe
250,1,28,8,-1.0,9999.0
251,1,28,9,-1.0,9999.0
252,1,29,1,-1.0,9999.0
253,1,29,2,-1.0,9999.0
254,1,29,3,-1.0,9999.0
255,1,29,4,-1.0,9999.0
256,1,29,5,-1.0,9999.0
257,1,29,6,-1.0,9999.0
258,1,29,7,-1.0,9999.0
259,1,29,8,-1.0,9999.0
260,1,29,9,-1.0,9999.0
261,1,30,1,-1.0,9999.0
262,1,30,2,-1.0,9999.0
263,1,30,3,-1.0,9999.0
264,1,30,4,-1.0,9999.0
265,1,30,5,-1.0,9999.0
266,1,30,6,-1.0,9999.0
267,1,30,7,-1.0,9999.0
268,1,30,8,-1.0,9999.0
269,1,30,9,-1.0,9999.0
270,2,1,1,-1.0,9999.0
271,2,1,2,-1.0,9999.0
272,2,1,3,-1.0,9999.0
273,2,1,4,-1.0,9999.0
274,2,1,5,-1.0,9999.0
275,2,1,6,-1.0,9999.0
276,2,1,7,-1.0,9999.0
277,2,1,8,-1.0,9999.0
278,2,1,9,-1.0,9999.0
279,2,2,1,-1.0,9999.0
280,2,2,2,-1.0,9999.0
281,2,2,3,-1.0,9999.0
282,2,2,4,-1.0,9999.0
283,2,2,5,-1.0,9999.0
284,2,2,6,-1.0,9999.0
285,2,2,7,-1.0,9999.0
286,2,2,8,-1.0,9999.0
287,2,2,9,-1.0,9999.0
288,2,3,1,2.7441590811978967e-58,-1.1480952539070062
289,2,3,2,-1.0,9999.0
290,2,3,3,-1.0,9999.0
291,2,3,4,-1.0,9999.0
292,2,3,5,-1.0,9999.0
293,2,3,6,-1.0,9999.0
294,2,3,7,-1.0,9999.0
295,2,3,8,-1.0,9999.0
296,2,3,9,-1.0,9999.0
297,2,4,1,7.1263123351565e-62,-1.162108291872806
298,2,4,2,-1.0,9999.0
299,2,4,3,-1.0,9999.0
300,2,4,4,-1.0,9999.0
301,2,4,5,-1.0,9999.0
302,2,4,6,-1.0,9999.0
303,2,4,7,-1.0,9999.0
304,2,4,8,-1.0,9999.0
305,2,4,9,-1.0,9999.0
306,2,5,1,1.0210705270193258e-63,-1.1705438589917097
307,2,5,2,-1.0,9999.0
308,2,5,3,-1.0,9999.0
309,2,5,4,-1.0,9999.0
310,2,5,5,-1.0,9999.0
311,2,5,6,-1.0,9999.0
312,2,5,7,-1.0,9999.0
313,2,5,8,-1.0,9999.0
314,2,5,9,-1.0,9999.0
315,2,6,1,4.439622895533984e-65,-1.1773856740967634
316,2,6,2,-1.0,9999.0
317,2,6,3,-1.0,9999.0
318,2,6,4,-1.0,9999.0
319,2,6,5,-1.0,9999.0
320,2,6,6,-1.0,9999.0
321,2,6,7,-1.0,9999.0
322,2,6,8,-1.0,9999.0
323,2,6,9,-1.0,9999.0
324,2,7,1,6.898793914167808e-66,-1.1819704577672272
325,2,7,2,-1.0,9999.0
326,2,7,3,-1.0,9999.0
327,2,7,4,-1.0,9999.0
328,2,7,5,-1.0,9999.0
329,2,7,6,-1.0,9999.0
330,2,7,7,-1.0,9999.0
331,2,7,8,-1.0,9999.0
332,2,7,9,-1.0,9999.0
333,2,8,1,2.022301059462165e-66,-1.1855936660091622
334,2,8,2,-1.0,9999.0
335,2,8,3,-1.0,9999.0
336,2,8,4,-1.0,9999.0
337,2,8,5,-1.0,9999.0
338,2,8,6,-1.0,9999.0
339,2,8,7,-1.0,9999.0
340,2,8,8,-1.0,9999.0
341,2,8,9,-1.0,9999.0
342,2,9,1,4.806483215288914e-67,-1.1894611467893943
343,2,9,2,-1.0,9999.0
344,2,9,3,-1.0,9999.0
345,2,9,4,-1.0,9999.0
346,2,9,5,-1.0,9999.0
347,2,9,6,-1.0,9999.0
348,2,9,7,-1.0,9999.0
349,2,9,8,-1.0,9999.0
350,2,9,9,-1.0,9999.0
351,2,10,1,1.859467579245886e-67,-1.191806815339972
352,2,10,2,-1.0,9999.0
353,2,10,3,-1.0,9999.0
354,2,10,4,-1.0,9999.0
355,2,10,5,-1.0,9999.0
356,2,10,6,-1.0,9999.0
357,2,10,7,-1.0,9999.0
358,2,10,8,-1.0,9999.0
359,2,10,9,-1.0,9999.0
360,2,11,1,8.088591066708452e-68,-1.1940164259822001
361,2,11,2,-1.0,9999.0
362,2,11,3,-1.0,9999.0
363,2,11,4,-1.0,9999.0
364,2,11,5,-1.0,9999.0
365,2,11,6,-1.0,9999.0
366,2,11,7,-1.0,9999.0
367,2,11,8,-1.0,9999.0
368,2,11,9,-1.0,9999.0
369,2,12,1,4.211367413897993e-68,-1.195807670768061
370,2,12,2,-1.0,9999.0
371,2,12,3,-1.0,9999.0
372,2,12,4,-1.0,9999.0
373,2,12,5,-1.0,9999.0
374,2,12,6,-1.0,9999.0
375,2,12,7,-1.0,9999.0
376,2,12,8,-1.0,9999.0
377,2,12,9,-1.0,9999.0
378,2,13,1,1.7449065653496118e-68,-1.197893656747812
379,2,13,2,-1.0,9999.0
380,2,13,3,-1.0,9999.0
381,2,13,4,-1.0,9999.0
382,2,13,5,-1.0,9999.0
383,2,13,6,-1.0,9999.0
384,2,13,7,-1.0,9999.0
385,2,13,8,-1.0,9999.0
386,2,13,9,-1.0,9999.0
387,2,14,1,8.792401348030994e-69,-1.1994248557313336
388,2,14,2,-1.0,9999.0
389,2,14,3,-1.0,9999.0
390,2,14,4,-1.0,9999.0
391,2,14,5,-1.0,9999.0
392,2,14,6,-1.0,9999.0
393,2,14,7,-1.0,9999.0
394,2,14,8,-1.0,9999.0
395,2,14,9,-1.0,9999.0
396,2,15,1,5.494833880428066e-69,-1.2008129886657422
397,2,15,2,-1.0,9999.0
398,2,15,3,-1.0,9999.0
399,2,15,4,-1.0,9999.0
400,2,15,5,-1.0,9999.0
401,2,15,6,-1.0,9999.0
402,2,15,7,-1.0,9999.0
403,2,15,8,-1.0,9999.0
404,2,15,9,-1.0,9999.0
405,2,16,1,3.499382698055342e-69,-1.201955962792127
406,2,16,2,-1.0,9999.0
407,2,16,3,-1.0,9999.0
408,2,16,4,-1.0,9999.0
409,2,16,5,-1.0,9999.0
410,2,16,6,-1.0,9999.0
411,2,16,7,-1.0,9999.0
412,2,16,8,-1.0,9999.0
413,2,16,9,-1.0,9999.0
414,2,17,1,2.51199526297214e-69,-1.2028970482636911
415,2,17,2,-1.0,9999.0
416,2,17,3,-1.0,9999.0
417,2,17,4,-1.0,9999.0
418,2,17,5,-1.0,9999.0
419,2,17,6,-1.0,9999.0
420,2,17,7,-1.0,9999.0
421,2,17,8,-1.0,9999.0
422,2,17,9,-1.0,9999.0
423,2,18,1,1.7568013003071505e-69,-1.2039139105514005
424,2,18,2,-1.0,9999.0
425,2,18,3,-1.0,9999.0
426,2,18,4,-1.0,9999.0
427,2,18,5,-1.0,9999.0
428,2,18,6,-1.0,9999.0
429,2,18,7,-1.0,9999.0
430,2,18,8,-1.0,9999.0
431,2,18,9,-1.0,9999.0
432,2,19,1,1.399198068462699e-69,-1.2046606640351503
433,2,19,2,-1.0,9999.0
434,2,19,3,-1.0,9999.0
435,2,19,4,-1.0,9999.0
436,2,19,5,-1.0,9999.0
437,2,19,6,-1.0,9999.0
438,2,19,7,-1.0,9999.0
439,2,19,8,-1.0,9999.0
440,2,19,9,-1.0,9999.0
441,2,20,1,8.624261339288375e-70,-1.2057498501384283
442,2,20,2,-1.0,9999.0
443,2,20,3,-1.0,9999.0
444,2,20,4,-1.0,9999.0
445,2,20,5,-1.0,9999.0
446,2,20,6,-1.0,9999.0
447,2,20,7,-1.0,9999.0
448,2,20,8,-1.0,9999.0
449,2,20,9,-1.0,9999.0
450,2,21,1,5.327594660192211e-70,-1.2068111723768882
451,2,21,2,-1.0,9999.0
452,2,21,3,-1.0,9999.0
453,2,21,4,-1.0,9999.0
454,2,21,5,-1.0,9999.0
455,2,21,6,-1.0,9999.0
456,2,21,7,-1.0,9999.0
457,2,21,8,-1.0,9999.0
458,2,21,9,-1.0,9999.0
459,2,22,1,4.272142758441466e-70,-1.2073979513271889
460,2,22,2,-1.0,9999.0
461,2,22,3,-1.0,9999.0
462,2,22,4,-1.0,9999.0
463,2,22,5,-1.0,9999.0
464,2,22,6,-1.0,9999.0
465,2,22,7,-1.0,9999.0
466,2,22,8,-1.0,9999.0
467,2,22,9,-1.0,9999.0
468,2,23,1,3.0672917622001984e-70,-1.2081975543979235
469,2,23,2,-1.0,9999.0
470,2,23,3,-1.0,9999.0
471,2,23,4,-1.0,9999.0
472,2,23,5,-1.0,9999.0
473,2,23,6,-1.0,9999.0
474,2,23,7,-1.0,9999.0
475,2,23,8,-1.0,9999.0
476,2,23,9,-1.0,9999.0
477,2,24,1,3.011428420333534e-70,-1.2084649465648345
478,2,24,2,-1.0,9999.0
479,2,24,3,-1.0,9999.0
480,2,24,4,-1.0,9999.0
481,2,24,5,-1.0,9999.0
482,2,24,6,-1.0,9999.0
483,2,24,7,-1.0,9999.0
484,2,24,8,-1.0,9999.0
485,2,24,9,-1.0,9999.0
486,2,25,1,2.1030004464547472e-70,-1.2092606634129044
487,2,25,2,-1.0,9999.0
488,2,25,3,-1.0,9999.0
489,2,25,4,-1.0,9999.0
490,2,25,5,-1.0,9999.0
491,2,25,6,-1.0,9999.0
492,2,25,7,-1.0,9999.0
493,2,25,8,-1.0,9999.0
494,2,25,9,-1.0,9999.0
495,2,26,1,2.163021636331168e-70,-1.209393078311798
496,2,26,2,-1.0,9999.0
497,2,26,3,-1.0,9999.0
498,2,26,4,-1.0,9999.0
499,2,26,5,-1.0,9999.0
500,2,26,6,-1.0,9999.0
501,2,26,7,-1.0,9999.0
502,2,26,8,-1.0,9999.0
503,2,26,9,-1.0,9999.0
504,2,27,1,1.9280894599327785e-70,-1.2098393930485662
505,2,27,2,-1.0,9999.0
506,2,27,3,-1.0,9999.0
507,2,27,4,-1.0,9999.0
508,2,27,5,-1.0,9999.0
509,2,27,6,-1.0,9999.0
510,2,27,7,-1.0,9999.0
511,2,27,8,-1.0,9999.0
512,2,27,9,-1.0,9999.0
513,2,28,1,1.617836987459399e-70,-1.2103145212636344
514,2,28,2,-1.0,9999.0
515,2,28,3,-1.0,9999.0
516,2,28,4,-1.0,9999.0
517,2,28,5,-1.0,9999.0
518,2,28,6,-1.0,9999.0
519,2,28,7,-1.0,9999.0
520,2,28,8,-1.0,9999.0
521,2,28,9,-1.0,9999.0
522,2,29,1,1.344215002332726e-70,-1.2107648109297156
523,2,29,2,-1.0,9999.0
524,2,29,3,-1.0,9999.0
525,2,29,4,-1.0,9999.0
526,2,29,5,-1.0,9999.0
527,2,29,6,-1.0,9999.0
528,2,29,7,-1.0,9999.0
529,2,29,8,-1.0,9999.0
530,2,29,9,-1.0,9999.0
531,2,30,1,1.3126610003089682e-70,-1.2109101547480492
532,2,30,2,-1.0,9999.0
533,2,30,3,-1.0,9999.0
534,2,30,4,-1.0,9999.0
535,2,30,5,-1.0,9999.0
536,2,30,6,-1.0,9999.0
537,2,30,7,-1.0,9999.0
538,2,30,8,-1.0,9999.0
539,2,30,9,-1.0,9999.0
540,3,1,1,-1.0,9999.0
541,3,1,2,-1.0,9999.0
542,3,1,3,-1.0,9999.0
543,3,1,4,-1.0,9999.0
544,3,1,5,-1.0,9999.0
545,3,1,6,-1.0,9999.0
546,3,1,7,-1.0,9999.0
547,3,1,8,-1.0,9999.0
548,3,1,9,-1.0,9999.0
549,3,2,1,-1.0,9999.0
550,3,2,2,-1.0,9999.0
551,3,2,3,-1.0,9999.0
552,3,2,4,-1.0,9999.0
553,3,2,5,-1.0,9999.0
554,3,2,6,-1.0,9999.0
555,3,2,7,-1.0,9999.0
556,3,2,8,-1.0,9999.0
557,3,2,9,-1.0,9999.0
558,3,3,1,-1.0,9999.0
559,3,3,2,-1.0,9999.0
560,3,3,3,-1.0,9999.0
561,3,3,4,-1.0,9999.0
562,3,3,5,-1.0,9999.0
563,3,3,6,-1.0,9999.0
564,3,3,7,-1.0,9999.0
565,3,3,8,-1.0,9999.0
566,3,3,9,-1.0,9999.0
567,3,4,1,4.460939378251781e-65,-1.1794765256057826
568,3,4,2,1.1334060198918609e-10,-1.0698623543864416
569,3,4,3,-1.0,9999.0
570,3,4,4,-1.0,9999.0
571,3,4,5,-1.0,9999.0
572,3,4,6,-1.0,9999.0
573,3,4,7,-1.0,9999.0
574,3,4,8,-1.0,9999.0
575,3,4,9,-1.0,9999.0
576,3,5,1,3.6028636673466996e-66,-1.187080948025779
577,3,5,2,2.331267775260105e-10,-1.069985749221523
578,3,5,3,-1.0,9999.0
579,3,5,4,-1.0,9999.0
580,3,5,5,-1.0,9999.0
581,3,5,6,-1.0,9999.0
582,3,5,7,-1.0,9999.0
583,3,5,8,-1.0,9999.0
584,3,5,9,-1.0,9999.0
585,3,6,1,1.197101661721112e-66,-1.1919654359161727
586,3,6,2,3.105355818060029e-10,-1.0702425569803147
587,3,6,3,-1.0,9999.0
588,3,6,4,-1.0,9999.0
589,3,6,5,-1.0,9999.0
590,3,6,6,-1.0,9999.0
591,3,6,7,-1.0,9999.0
592,3,6,8,-1.0,9999.0
593,3,6,9,-1.0,9999.0
594,3,7,1,1.0204543218494785e-66,-1.1940364661692304
595,3,7,2,2.810814292492962e-10,-1.0707902646337073
596,3,7,3,-1.0,9999.0
597,3,7,4,-1.0,9999.0
598,3,7,5,-1.0,9999.0
599,3,7,6,-1.0,9999.0
600,3,7,7,-1.0,9999.0
601,3,7,8,-1.0,9999.0
602,3,7,9,-1.0,9999.0
603,3,8,1,5.5037149235640407e-67,-1.1965278710939062
604,3,8,2,4.695329253307476e-10,-1.0704662468045225
605,3,8,3,-1.0,9999.0
606,3,8,4,-1.0,9999.0
607,3,8,5,-1.0,9999.0
608,3,8,6,-1.0,9999.0
609,3,8,7,-1.0,9999.0
610,3,8,8,-1.0,9999.0
611,3,8,9,-1.0,9999.0
612,3,9,1,3.4720138257723114e-67,-1.1983254099028642
613,3,9,2,9.484921510874604e-10,-1.0696744384955943
614,3,9,3,-1.0,9999.0
615,3,9,4,-1.0,9999.0
616,3,9,5,-1.0,9999.0
617,3,9,6,-1.0,9999.0
618,3,9,7,-1.0,9999.0
619,3,9,8,-1.0,9999.0
620,3,9,9,-1.0,9999.0
621,3,10,1,2.2078444028723006e-67,-1.2002702776301182
622,3,10,2,1.2864822253678776e-09,-1.0692959361007612
623,3,10,3,-1.0,9999.0
624,3,10,4,-1.0,9999.0
625,3,10,5,-1.0,9999.0
626,3,10,6,-1.0,9999.0
627,3,10,7,-1.0,9999.0
628,3,10,8,-1.0,9999.0
629,3,10,9,-1.0,9999.0
630,3,11,1,2.5898274375179785e-67,-1.2010490062375483
631,3,11,2,2.215602470164073e-09,-1.0685532316711301
632,3,11,3,-1.0,9999.0
633,3,11,4,-1.0,9999.0
634,3,11,5,-1.0,9999.0
635,3,11,6,-1.0,9999.0
636,3,11,7,-1.0,9999.0
637,3,11,8,-1.0,9999.0
638,3,11,9,-1.0,9999.0
639,3,12,1,2.518919167520581e-67,-1.2017546642430283
640,3,12,2,2.3525862722752882e-09,-1.0686612900931138
641,3,12,3,-1.0,9999.0
642,3,12,4,-1.0,9999.0
643,3,12,5,-1.0,9999.0
644,3,12,6,-1.0,9999.0
645,3,12,7,-1.0,9999.0
646,3,12,8,-1.0,9999.0
647,3,12,9,-1.0,9999.0
648,3,13,1,2.3818103165177555e-67,-1.202725839645677
649,3,13,2,4.197257752634232e-09,-1.0675215906558801
650,3,13,3,-1.0,9999.0
