,open,symbol,type,profit,cost,balance,cumsum_long_profit,cumsum_short_profit,cumsum_trading_cost
2625,1633809600000.0,FILUSDT,short,292.9904002755815,6.992261266306431,87263.21493241518,,-22496.77197110933,22933.042794155368
2626,1633852800000.0,AVAXUSDT,long,-493.6721373021979,6.981057194593214,86769.54279511298,9266.314766222251,,22940.02385134996
2627,1633852800000.0,COTIUSDT,long,-477.18185191436027,6.981057194593214,86292.36094319863,8789.132914307891,,22947.004908544553
2628,1633852800000.0,XTZUSDT,long,-566.8712147475383,6.981057194593214,85725.48972845108,8222.261699560353,,22953.985965739146
2629,1633852800000.0,SNXUSDT,long,-503.44761360481414,6.981057194593214,85222.04211484626,7718.814085955539,,22960.96702293374
2630,1633852800000.0,SKLUSDT,long,-600.7549488863738,6.981057194593214,84621.28716595989,7118.059137069165,,22967.94808012833
2631,1633852800000.0,STORJUSDT,short,-392.3459953391198,6.981057194593214,84228.94117062078,,-22889.11796644845,22974.929137322924
2632,1633852800000.0,MTLUSDT,short,141.27247475267168,6.981057194593214,84370.21364537344,,-22747.84549169578,22981.910194517517
2633,1633852800000.0,OCEANUSDT,short,613.1661362192528,6.981057194593214,84983.3797815927,,-22134.679355476528,22988.89125171211
2634,1633852800000.0,UNFIUSDT,short,704.9428789232604,6.981057194593214,85688.32266051596,,-21429.73647655327,22995.872308906703
2635,1633852800000.0,1000SHIBUSDT,short,-193.46714317690018,6.981057194593214,85494.85551733906,,-21623.203619730168,23002.853366101295
2636,1633896000000.0,XRPUSDT,long,110.31747490377371,7.599542712652362,85605.17299224283,7228.376611972939,,23010.452908813946
2637,1633896000000.0,IOTAUSDT,long,410.07696611977406,7.599542712652362,86015.2499583626,7638.453578092713,,23018.052451526597
2638,1633896000000.0,LINAUSDT,long,8.608012835657895,7.599542712652362,86023.85797119826,7647.061590928371,,23025.651994239248
2639,1633896000000.0,STORJUSDT,long,-579.2199367759724,7.599542712652362,85444.63803442229,7067.841654152398,,23033.2515369519
2640,1633896000000.0,MTLUSDT,short,219.35912027616558,7.599542712652362,85663.99715469845,,-21403.844499454,23040.85107966455
2641,1633896000000.0,KNCUSDT,short,161.1854148143305,7.599542712652362,85825.18256951278,,-21242.65908463967,23048.4506223772
2642,1633896000000.0,BTCUSDT,short,-309.4017662771614,7.599542712652362,85515.78080323561,,-21552.06085091683,23056.05016508985
2643,1633896000000.0,SXPUSDT,short,92.32299622935916,7.599542712652362,85608.10379946497,,-21459.73785468747,23063.649707802502
2644,1633896000000.0,1000SHIBUSDT,short,-1138.388708157233,7.599542712652362,84469.71509130773,,-22598.126562844704,23071.249250515153
2645,1633939200000.0,RENUSDT,long,-426.6890970334197,8.446971509130774,84043.02599427431,6641.152557118979,,23079.696222024282
2646,1633939200000.0,OMGUSDT,long,-569.4728994718656,8.446971509130774,83473.55309480245,6071.679657647113,,23088.14319353341
2647,1633939200000.0,IOTAUSDT,long,-168.71188288502444,8.446971509130774,83304.84121191743,5902.967774762089,,23096.59016504254
2648,1633939200000.0,1000SHIBUSDT,short,-514.4568012733293,8.446971509130774,82790.3844106441,,-23112.583364118032,23105.03713655167
2649,1633939200000.0,LINAUSDT,short,59.49328003100207,8.446971509130774,82849.8776906751,,-23053.09008408703,23113.4841080608
2650,1633939200000.0,BTCUSDT,short,-207.16191321355424,8.446971509130774,82642.71577746155,,-23260.251997300584,23121.931079569928
2651,1633939200000.0,ONEUSDT,short,122.91909251144949,8.446971509130774,82765.634869973,,-23137.332904789135,23130.378051079057
2652,1633939200000.0,XRPUSDT,short,112.7487066653548,8.446971509130774,82878.38357663836,,-23024.58419812378,23138.825022588186
2653,1633982400000.0,OMGUSDT,long,672.9664691837606,7.3669674290345215,83551.35004582212,6575.93424394585,,23146.19199001722
2654,1633982400000.0,BTCUSDT,long,-45.806515576870666,7.3669674290345215,83505.54353024525,6530.127728368979,,23153.558957446257
2655,1633982400000.0,YFIUSDT,long,-400.8860527235627,7.3669674290345215,83104.65747752169,6129.241675645416,,23160.925924875293
2656,1633982400000.0,1000SHIBUSDT,long,-563.3679097563543,7.3669674290345215,82541.28956776533,5565.873765889061,,23168.29289230433
2657,1633982400000.0,FTMUSDT,short,818.4629715193569,7.3669674290345215,83359.75253928469,,-22206.121226604424,23175.659859733365
2658,1633982400000.0,ONEUSDT,short,809.0525951924456,7.3669674290345215,84168.80513447714,,-21397.068631411978,23183.0268271624
2659,1633982400000.0,IOTAUSDT,short,897.2653319395315,7.3669674290345215,85066.07046641667,,-20499.803299472445,23190.393794591437
2660,1633982400000.0,STORJUSDT,short,1007.2229119111005,7.3669674290345215,86073.29337832777,,-19492.580387561346,23197.760762020473
2661,1633982400000.0,LINAUSDT,short,720.5595761541393,7.3669674290345215,86793.8529544819,,-18772.020811407205,23205.12772944951
2662,1634025600000.0,RLCUSDT,long,894.4605717656472,8.67938529544819,87688.31352624756,6460.334337654708,,23213.807114744955
2663,1634025600000.0,OMGUSDT,long,58.14494426482175,8.67938529544819,87746.45847051237,6518.47928191953,,23222.486500040402
2664,1634025600000.0,WAVESUSDT,long,-22.955653368635495,8.67938529544819,87723.50281714373,6495.5236285508945,,23231.16588533585
2665,1634025600000.0,1000SHIBUSDT,short,-88.90178114746219,8.67938529544819,87634.60103599627,,-18860.922592554667,23239.845270631296
2666,1634025600000.0,BTCUSDT,short,227.81154747701618,8.67938529544819,87862.41258347328,,-18633.11104507765,23248.524655926743
2667,1634025600000.0,YFIUSDT,short,-272.3615949868582,8.67938529544819,87590.05098848643,,-18905.47264006451,23257.20404122219
